Antenna Configuration,True Cost Before,Predicted Cost Before,True Cost After,Predicted Cost After,Minimum Distance After
0.0,-40463.984375,-2.7861413955688477,-62707.02734375,-5.6386637687683105,0.545016348361969
1.0,-39931.296875,-2.6941263675689697,-62414.31640625,-4.866221904754639,0.5375885367393494
2.0,-39767.265625,-2.763090133666992,-61536.171875,-4.8700785636901855,0.5370063781738281
3.0,-39472.40625,-2.8222227096557617,-65322.54296875,-4.9388322830200195,0.5461071729660034
4.0,-39431.63671875,-2.898480176925659,-64732.1875,-5.063077449798584,0.5486299991607666
5.0,-39383.21875,-2.764840841293335,-57236.76953125,-4.888397693634033,0.5485882759094238
6.0,-39036.94140625,-2.7783656120300293,-57222.96875,-4.864979267120361,0.5530896782875061
7.0,-38702.12890625,-2.4674599170684814,-60443.72265625,-4.829120635986328,0.5760096311569214
8.0,-38690.56640625,-2.725356101989746,-55638.52734375,-4.822964668273926,0.5358045101165771
9.0,-38600.6953125,-2.6493067741394043,-51070.15625,-4.8048834800720215,0.5517500638961792
